Employee_ID,Department,Gender,Age,Job_Title,Years_At_Company,Education_Level,Performance_Score,Monthly_Salary,Work_Hours_Per_Week,Projects_Handled,Overtime_Hours,Sick_Days,Remote_Work_Frequency,Team_Size,Training_Hours,Promotions,Employee_Satisfaction_Score,Resigned
558,Engineering,Female,48,Specialist,5,Master,5,6750,40,2,6,8,50,15,98,0,2.48,0
559,Legal,Female,54,Technician,7,High School,2,4200,36,45,1,1,25,7,34,2,1.12,1
560,Finance,Female,29,Developer,4,Bachelor,1,5500,31,13,24,14,100,13,40,2,2.88,0
561,Customer Support,Female,46,Manager,1,Bachelor,1,6600,47,12,23,14,0,18,37,2,2.4,0
562,Marketing,Female,56,Specialist,9,Bachelor,1,4950,40,18,13,12,100,13,61,2,3.92,0
563,Engineering,Male,56,Analyst,2,Bachelor,1,4400,40,15,0,6,0,17,12,2,3.58,0
564,Sales,Female,57,Technician,2,High School,3,4550,49,27,25,13,0,3,20,0,2.8,0
565,Sales,Female,35,Analyst,5,Master,3,5200,60,36,25,14,25,15,3,0,3.31,0
566,Operations,Male,33,Technician,7,Bachelor,5,5250,41,26,11,2,75,17,60,0,1.4,0
567,Customer Support,Female,26,Technician,6,High School,5,5250,50,5,12,10,100,18,75,1,4.14,0
568,Operations,Female,28,Engineer,6,Bachelor,4,8400,60,35,1,7,0,11,52,0,1.56,1
569,Marketing,Female,55,Specialist,9,Master,5,6750,32,2,3,9,75,9,2,1,1.66,0
570,Legal,Male,46,Developer,9,Bachelor,4,7000,46,14,29,14,50,18,87,2,4.04,0
571,HR,Male,35,Developer,5,High School,4,7000,39,35,18,3,100,11,5,1,2.47,1
572,Operations,Female,32,Manager,3,Bachelor,1,6600,57,40,24,13,75,19,23,0,2.1,0
573,HR,Female,26,Analyst,5,Bachelor,2,4800,34,12,6,14,50,15,56,0,2.21,0
574,Finance,Female,35,Analyst,2,Bachelor,4,5600,40,0,20,5,100,13,92,1,3.97,0
575,Engineering,Female,41,Manager,4,Bachelor,5,9000,53,35,19,14,75,4,31,2,2.13,0
576,Marketing,Male,50,Analyst,2,High School,5,6000,43,12,7,6,75,7,5,1,4.86,0
577,Marketing,Male,25,Technician,9,High School,4,4900,30,39,6,14,100,17,47,0,1.12,0
578,IT,Male,40,Specialist,2,High School,3,5850,33,34,20,11,100,8,0,1,1.22,1
579,Customer Support,Female,37,Developer,2,Bachelor,1,5500,41,11,23,4,25,11,84,1,4.54,0
580,IT,Female,52,Specialist,4,Bachelor,2,5400,40,1,8,12,75,9,77,2,2.7,0
581,Engineering,Male,54,Analyst,5,Bachelor,3,5200,47,20,19,14,25,5,35,1,2.4,0
582,Finance,Male,54,Specialist,7,Bachelor,2,5400,32,8,27,14,75,7,86,2,2.38,0
583,HR,Male,34,Manager,9,Bachelor,5,9000,57,23,25,8,75,14,13,1,1.1,0
584,Legal,Male,39,Developer,2,High School,1,5500,45,19,17,9,100,13,32,0,1.81,0
585,Sales,Female,59,Specialist,6,Bachelor,3,5850,40,47,4,4,100,15,71,1,2.92,0
586,Engineering,Female,53,Engineer,1,Bachelor,4,8400,60,8,9,7,50,4,37,1,3.62,0
587,IT,Male,49,Developer,0,High School,2,6000,44,46,13,3,0,5,14,0,1.82,0
588,Marketing,Male,59,Analyst,9,High School,1,4400,59,10,6,3,0,11,20,0,2.16,0
589,Engineering,Female,36,Consultant,9,High School,1,6050,45,2,9,12,50,14,15,0,1.4,0
590,Marketing,Male,43,Analyst,3,High School,5,6000,45,49,11,11,50,18,62,0,1.34,0
591,Engineering,Male,27,Consultant,2,High School,1,6050,51,28,7,3,50,8,90,1,4.35,0
592,Finance,Male,54,Consultant,0,Bachelor,5,8250,34,22,12,8,75,2,15,2,1.03,0
593,Marketing,Female,29,Developer,4,Bachelor,3,6500,45,36,11,4,75,7,39,2,1.09,0
594,HR,Male,33,Analyst,6,Bachelor,4,5600,33,16,28,1,50,11,25,2,1.99,0
595,HR,Male,35,Developer,6,Bachelor,1,5500,39,44,24,0,0,9,8,0,1.51,1
596,Finance,Female,43,Manager,7,Bachelor,4,8400,47,35,4,13,100,18,28,0,4.83,0
597,Sales,Male,40,Technician,6,Bachelor,3,4550,40,17,18,7,75,18,18,2,4.75,0
598,Operations,Female,27,Technician,3,Bachelor,5,5250,35,11,16,1,75,6,56,2,1.78,0
599,IT,Female,39,Developer,3,High School,3,6500,40,48,20,9,50,2,64,1,2.76,0
600,Operations,Male,34,Technician,4,High School,5,5250,52,4,25,10,75,8,38,2,4.46,1
601,HR,Other,27,Developer,4,Master,3,6500,59,42,7,10,75,1,69,2,1.28,0
602,IT,Male,27,Developer,0,Master,5,7500,30,16,5,1,0,3,95,2,4.72,0
603,Customer Support,Female,46,Analyst,9,Master,1,4400,41,49,24,5,25,15,8,2,3.96,0
604,Sales,Male,28,Consultant,7,Bachelor,2,6600,42,19,11,2,25,13,19,1,4.25,0
605,Marketing,Male,41,Engineer,0,High School,5,9000,34,9,20,6,100,17,41,2,1.7,0
606,IT,Female,35,Engineer,0,Master,4,8400,49,1,3,12,75,10,75,0,3.7,0
607,Engineering,Female,43,Manager,1,High School,2,7200,39,41,21,12,25,9,53,1,4.77,0
608,Sales,Male,42,Technician,6,Bachelor,1,3850,59,30,9,5,25,2,2,2,4.73,0
609,Sales,Female,43,Technician,0,Bachelor,1,3850,34,42,17,3,25,16,33,2,4.68,0
610,Sales,Male,30,Technician,1,High School,1,3850,33,15,20,8,100,18,16,1,3.48,0
611,Marketing,Female,42,Manager,5,High School,1,6600,55,7,19,7,75,15,15,2,1.58,0
612,HR,Male,42,Technician,1,Bachelor,5,5250,52,46,14,9,100,1,46,1,2.98,1
613,Operations,Male,56,Developer,4,PhD,3,6500,55,32,17,11,25,9,95,2,4.34,0
614,Sales,Female,41,Analyst,5,Bachelor,3,5200,45,0,1,7,0,15,77,1,1.96,0
615,Operations,Male,24,Specialist,9,High School,2,5400,30,16,0,6,25,7,69,1,3.65,1
616,Operations,Male,26,Technician,8,High School,4,4900,50,9,13,9,0,6,29,1,3.24,0
617,Sales,Female,36,Engineer,2,Master,2,7200,34,44,28,12,75,17,27,1,2.14,0
618,Operations,Male,56,Consultant,9,Bachelor,1,6050,48,24,9,2,50,4,50,1,4.2,0
619,IT,Female,40,Consultant,0,Master,2,6600,59,29,7,7,25,8,23,0,4.08,0
620,Operations,Female,56,Technician,4,High School,1,3850,55,21,5,1,0,19,40,0,3.1,1
621,HR,Male,40,Specialist,7,Bachelor,4,6300,58,0,10,3,0,16,49,0,3.24,0
622,Engineering,Female,35,Consultant,3,High School,1,6050,51,26,19,0,0,11,39,0,2.51,0
623,Legal,Male,33,Developer,1,High School,4,7000,60,44,28,12,50,6,34,2,3.93,0
624,Engineering,Male,42,Technician,2,Master,5,5250,59,38,23,9,50,11,37,1,2.28,0
625,Legal,Female,51,Engineer,4,High School,5,9000,55,27,9,6,50,12,75,0,1.17,0
626,Legal,Male,49,Consultant,4,Master,1,6050,52,12,21,1,25,2,17,2,2.9,0
627,IT,Female,26,Manager,6,High School,3,7800,43,4,14,14,50,5,82,1,2.85,0
628,IT,Female,33,Engineer,5,PhD,5,9000,50,45,17,0,0,11,16,0,1.32,0
629,Finance,Female,35,Manager,2,Bachelor,5,9000,43,41,22,10,100,15,87,1,3.73,1
630,Sales,Female,35,Engineer,6,High School,3,7800,31,35,21,3,50,15,97,2,4.86,0
631,HR,Female,48,Analyst,0,Bachelor,1,4400,43,41,16,8,0,2,37,1,2.55,0
632,Finance,Female,35,Manager,5,Bachelor,2,7200,60,30,1,1,0,19,24,0,4.25,0
633,IT,Female,35,Technician,6,Bachelor,3,4550,37,30,3,6,50,15,73,1,3.84,0
634,HR,Male,51,Consultant,0,Bachelor,5,8250,56,39,1,4,75,19,39,0,4.88,0
635,Sales,Male,33,Specialist,6,High School,1,4950,47,35,2,3,0,8,28,0,4.49,0
636,IT,Female,37,Developer,7,High School,5,7500,39,16,25,8,25,16,64,2,1.56,0
637,Finance,Other,47,Analyst,8,Bachelor,4,5600,47,19,8,0,50,6,24,2,2.95,0
638,Sales,Male,42,Specialist,7,Bachelor,2,5400,53,38,25,8,50,14,70,1,4.47,0
639,Sales,Female,29,Consultant,0,High School,5,8250,44,35,26,4,0,13,88,2,2.44,0
640,Sales,Male,53,Analyst,9,High School,4,5600,38,17,20,12,100,11,96,1,2.95,1
641,Engineering,Male,43,Engineer,6,PhD,2,7200,49,16,10,5,0,5,63,2,4.04,0
642,IT,Male,35,Engineer,5,High School,4,8400,43,39,6,11,25,4,11,1,3.58,0
643,IT,Male,37,Manager,9,Bachelor,4,8400,35,2,20,3,50,14,55,0,2.37,0
644,Legal,Male,30,Engineer,4,Master,2,7200,44,26,3,5,0,3,97,0,1.49,0
645,Legal,Female,59,Manager,8,High School,2,7200,31,17,22,6,100,15,59,2,2.8,0
646,Finance,Female,39,Technician,8,High School,4,4900,60,14,16,10,100,18,19,2,3.26,0
647,Customer Support,Male,22,Technician,4,Master,5,5250,50,39,19,0,0,2,19,0,3.6,0
648,Customer Support,Male,30,Consultant,9,High School,4,7700,47,2,1,5,75,5,54,2,1.83,0
649,Marketing,Female,31,Developer,0,Bachelor,4,7000,44,46,23,14,75,5,15,1,1.43,0
650,Legal,Male,44,Developer,5,High School,2,6000,53,15,23,12,100,11,90,0,3.55,0
651,Legal,Female,29,Developer,8,Master,3,6500,57,43,23,0,100,2,99,2,3.23,0
652,Operations,Male,33,Specialist,1,Bachelor,1,4950,36,12,11,9,0,18,30,0,2.07,0
653,Marketing,Male,39,Specialist,9,PhD,1,4950,47,38,27,3,25,3,75,2,1.62,0
654,Operations,Male,39,Analyst,9,High School,1,4400,40,1,11,5,25,18,89,2,3.18,0
655,HR,Male,27,Analyst,8,High School,5,6000,31,27,7,8,100,7,81,2,4.24,0
656,Customer Support,Female,59,Analyst,8,High School,2,4800,46,34,25,6,100,17,23,0,3.25,1
657,HR,Female,39,Technician,6,Bachelor,4,4900,59,30,10,8,0,12,59,1,2.18,0
658,Finance,Male,35,Analyst,3,High School,1,4400,41,2,15,3,100,16,94,2,2.69,0
659,Operations,Female,33,Manager,9,Bachelor,5,9000,49,3,26,4,50,12,86,0,2.91,1
660,Customer Support,Female,55,Engineer,4,Bachelor,4,8400,46,41,4,7,100,11,23,2,4.84,0
661,Customer Support,Male,43,Consultant,0,High School,3,7150,34,23,3,2,0,9,63,2,4.08,0
662,Sales,Male,46,Analyst,9,High School,1,4400,57,48,16,3,75,12,18,1,2.66,0
663,Engineering,Female,47,Analyst,3,High School,1,4400,40,8,9,5,75,2,29,1,1.89,0
664,Legal,Male,47,Engineer,4,Bachelor,3,7800,33,41,8,14,100,2,89,2,1.86,0
665,Customer Support,Female,37,Technician,6,High School,5,5250,36,25,20,13,75,14,87,0,2.19,0
666,IT,Female,37,Technician,4,PhD,4,4900,48,10,19,2,75,9,10,1,2.13,0
667,Sales,Male,59,Analyst,7,High School,1,4400,56,9,7,14,0,7,30,0,3.02,0
668,Finance,Male,45,Technician,1,PhD,1,3850,31,12,16,4,0,11,99,1,3.37,0
669,Sales,Female,43,Consultant,9,High School,1,6050,53,22,26,5,50,6,98,0,2.85,0
670,Legal,Male,47,Developer,5,Master,1,5500,37,49,16,7,100,4,58,2,2.35,0
671,Customer Support,Male,46,Specialist,7,High School,2,5400,59,6,22,14,100,10,22,0,4.33,0
672,Legal,Female,56,Consultant,7,Bachelor,3,7150,40,49,17,6,100,15,98,0,3.09,0
673,Finance,Female,53,Analyst,0,Bachelor,5,6000,42,0,26,3,100,14,83,2,4.64,0
674,Legal,Female,50,Consultant,4,Bachelor,2,6600,48,42,23,1,75,4,79,1,1.29,0
675,IT,Female,53,Developer,7,High School,2,6000,41,1,27,10,0,11,67,2,4.5,0
676,Finance,Male,52,Manager,8,Bachelor,3,7800,35,28,27,6,50,17,67,2,4.06,0
677,IT,Male,46,Manager,7,High School,3,7800,57,37,6,0,0,11,25,2,3.2,0
678,Legal,Female,25,Consultant,1,PhD,2,6600,41,3,10,5,50,10,74,1,2.75,0
679,Marketing,Other,60,Consultant,0,PhD,3,7150,51,46,28,12,25,15,21,1,3.16,0
680,Engineering,Male,44,Analyst,9,Bachelor,2,4800,37,18,26,14,0,14,33,0,1.69,0
681,Engineering,Male,39,Consultant,8,Master,1,6050,33,47,23,7,75,14,16,1,3.43,0
682,Operations,Male,51,Technician,2,Master,2,4200,33,21,7,6,75,8,31,0,1.72,1
683,Operations,Male,46,Technician,2,High School,5,5250,34,26,23,2,25,4,63,0,4.72,0
684,Engineering,Female,45,Developer,4,Master,4,7000,52,42,23,8,25,10,72,1,4.27,0
685,Sales,Female,37,Technician,0,PhD,5,5250,33,10,10,13,50,3,48,0,2.06,0
686,Finance,Male,51,Engineer,9,High School,1,6600,47,24,15,6,75,10,93,2,4.77,1
687,HR,Female,52,Technician,1,Master,4,4900,57,14,26,1,25,12,66,1,4.82,0
688,IT,Male,32,Consultant,8,Bachelor,1,6050,57,49,23,0,50,9,50,0,2.43,0
689,Legal,Male,58,Manager,9,PhD,3,7800,43,31,18,6,100,12,15,0,1.56,0
690,Sales,Male,48,Technician,6,Bachelor,4,4900,49,9,26,5,50,17,3,2,1.54,0
691,Finance,Male,54,Engineer,6,High School,2,7200,34,28,2,6,0,10,6,2,3.9,0
692,Marketing,Male,23,Engineer,3,Bachelor,4,8400,44,20,28,7,50,16,92,0,2.05,0
693,Sales,Male,50,Developer,2,Bachelor,1,5500,49,48,6,12,50,4,94,1,1.81,0
694,Engineering,Male,27,Analyst,3,Master,1,4400,30,0,11,5,100,15,47,2,3.99,1
695,Sales,Male,24,Manager,7,High School,5,9000,40,10,10,10,0,14,81,0,4.76,0
696,Finance,Male,41,Manager,3,High School,3,7800,47,35,6,9,25,10,69,1,2.88,0
697,Engineering,Male,33,Consultant,3,Bachelor,1,6050,52,19,16,4,25,13,53,0,3.62,0
698,Legal,Male,57,Manager,5,Bachelor,2,7200,60,12,13,4,100,5,32,1,4.83,0
699,Customer Support,Female,42,Technician,8,Bachelor,4,4900,31,26,13,10,0,2,95,2,2.1,0
700,Legal,Male,57,Manager,0,Master,2,7200,56,43,8,6,25,19,90,0,2.53,0
701,Sales,Female,44,Analyst,2,Bachelor,5,6000,52,7,5,9,100,7,96,0,1.47,0
702,IT,Male,26,Developer,1,Bachelor,4,7000,48,27,16,8,75,16,0,0,4.37,0
703,Marketing,Male,51,Specialist,8,Bachelor,3,5850,39,31,6,1,50,6,60,0,3.26,0
704,Sales,Male,38,Consultant,1,Bachelor,4,7700,36,47,14,14,100,16,55,2,4.77,0
705,Marketing,Male,26,Developer,2,Bachelor,1,5500,53,25,2,4,75,5,48,2,2.69,0
706,Engineering,Male,22,Developer,7,Master,2,6000,33,21,19,13,75,8,25,2,3.23,0
707,Customer Support,Male,40,Analyst,1,High School,4,5600,57,48,28,2,50,9,56,2,2.53,0
708,Customer Support,Male,55,Engineer,1,High School,5,9000,46,47,17,12,75,19,41,1,3.65,1
709,Engineering,Female,60,Consultant,5,Bachelor,5,8250,40,26,2,11,0,17,53,0,2.19,0
710,Finance,Female,40,Specialist,1,Master,4,6300,40,25,17,10,75,11,73,1,3.71,0
711,Finance,Female,46,Manager,3,High School,4,8400,56,35,0,10,50,14,96,1,2.1,0
712,Finance,Female,57,Manager,5,Bachelor,3,7800,34,28,6,1,25,15,74,0,1.84,0
713,Sales,Male,39,Specialist,4,High School,5,6750,36,0,27,0,100,11,46,1,1.89,1
714,Sales,Male,44,Consultant,2,Master,4,7700,47,35,8,4,75,10,88,0,2.85,0
715,Operations,Female,33,Developer,8,Bachelor,3,6500,31,35,13,2,50,11,53,1,2.62,0
716,Operations,Male,49,Consultant,7,Master,4,7700,38,19,3,2,0,15,39,1,4.3,0
717,Marketing,Female,42,Consultant,8,High School,1,6050,30,29,14,6,50,5,36,1,1.76,0
718,Engineering,Other,48,Engineer,4,Bachelor,3,7800,60,14,0,0,50,3,19,2,3.41,0
719,Legal,Male,35,Developer,5,High School,2,6000,60,24,17,0,75,2,14,1,4.85,0
720,Legal,Male,27,Manager,5,Bachelor,3,7800,52,3,2,11,25,10,37,0,1.21,1
721,Finance,Male,46,Engineer,5,High School,1,6600,48,1,17,3,25,17,51,1,2.87,0
722,Engineering,Male,37,Engineer,0,Bachelor,4,8400,34,45,15,11,25,8,56,2,2.3,0
723,Operations,Male,52,Technician,2,Master,1,3850,53,20,7,3,75,14,84,1,3.13,0
724,IT,Male,29,Consultant,6,Master,2,6600,50,16,12,1,75,6,19,2,3.85,0
725,Finance,Female,60,Consultant,4,Master,3,7150,33,24,28,9,0,3,2,2,3.45,0
726,Marketing,Female,60,Engineer,9,High School,3,7800,35,20,29,1,25,10,65,2,1.33,0
727,Marketing,Male,42,Analyst,8,Bachelor,2,4800,53,27,21,14,75,6,63,1,4.09,0
728,Customer Support,Female,43,Analyst,1,Bachelor,4,5600,39,48,25,5,25,7,4,2,1.04,0
729,Operations,Female,24,Technician,3,Master,3,4550,50,28,16,8,0,16,44,2,1.52,0
730,HR,Female,26,Technician,0,High School,2,4200,47,40,9,9,75,19,31,1,4.82,0
731,Customer Support,Male,29,Specialist,8,PhD,4,6300,31,13,27,2,100,11,10,0,1.52,0
732,Operations,Male,52,Specialist,5,High School,3,5850,59,8,10,2,0,1,92,0,2.15,0
733,Legal,Other,51,Technician,0,High School,4,4900,42,7,28,11,0,6,9,0,1.78,0
734,IT,Male,47,Developer,2,High School,5,7500,49,36,8,3,50,13,71,0,2.19,1
735,HR,Male,42,Manager,1,Master,4,8400,38,34,25,13,0,10,81,0,2.82,0
736,Marketing,Female,42,Specialist,0,Bachelor,1,4950,43,9,17,4,75,2,90,2,1.28,0
737,Engineering,Female,33,Developer,3,Bachelor,2,6000,59,21,20,13,0,19,43,2,4.24,0
738,IT,Female,32,Specialist,4,Bachelor,3,5850,50,27,17,10,100,1,65,1,4.39,0
739,Sales,Female,45,Analyst,5,Bachelor,3,5200,59,32,25,9,50,18,89,0,4.03,1
740,Marketing,Male,25,Manager,5,High School,3,7800,59,41,2,7,25,17,8,1,3.75,0
741,Sales,Female,54,Engineer,6,High School,5,9000,54,47,24,11,100,13,71,1,3.57,0
742,Customer Support,Male,55,Engineer,0,Bachelor,5,9000,48,21,27,6,75,1,63,0,1.8,0
743,Customer Support,Male,31,Engineer,4,Bachelor,5,9000,40,25,11,13,100,5,75,1,2.44,0
744,IT,Female,51,Analyst,7,Master,4,5600,31,40,5,3,25,10,89,1,2.63,0
745,Operations,Female,30,Manager,4,Master,4,8400,55,44,19,12,25,19,68,1,2.98,0
746,Legal,Male,39,Technician,6,Bachelor,4,4900,54,23,15,12,75,1,54,0,1.36,0
747,HR,Female,60,Manager,8,Bachelor,5,9000,40,37,4,6,75,1,74,2,1.65,0
748,Finance,Male,53,Manager,5,High School,2,7200,38,23,15,2,25,6,86,2,3.05,0
749,HR,Male,48,Technician,7,Bachelor,1,3850,44,23,28,7,25,17,32,1,2.22,0
750,Customer Support,Female,37,Consultant,3,Bachelor,2,6600,32,11,11,6,25,17,71,1,1.01,0
751,Engineering,Female,39,Engineer,0,Master,3,7800,49,2,9,0,25,16,63,0,2.58,0
752,IT,Female,45,Manager,4,High School,1,6600,43,34,29,4,50,9,43,0,1.01,0
753,IT,Male,60,Engineer,0,Bachelor,1,6600,53,3,24,1,50,8,59,1,1.12,0
754,HR,Female,59,Specialist,8,High School,2,5400,31,30,6,4,25,2,0,2,4.49,0
755,Finance,Female,23,Consultant,5,Bachelor,2,6600,53,4,21,9,100,17,75,2,3.23,0
756,HR,Male,59,Manager,4,High School,1,6600,41,35,0,8,50,7,86,0,4.48,0
757,HR,Female,49,Analyst,3,Bachelor,2,4800,46,5,12,11,100,13,68,1,2.64,0
758,HR,Male,58,Engineer,9,High School,5,9000,56,9,21,14,75,12,89,1,3.36,0
759,Customer Support,Male,27,Consultant,8,High School,2,6600,46,44,3,2,0,8,31,0,3.34,0
760,Legal,Male,42,Specialist,6,Master,5,6750,56,0,19,13,50,19,43,2,3.46,1
761,Finance,Female,44,Engineer,1,Master,3,7800,37,43,14,0,25,8,2,1,3.74,0
762,Customer Support,Male,50,Consultant,0,Bachelor,5,8250,34,44,22,3,75,11,19,2,2.19,0
763,Engineering,Female,57,Specialist,1,High School,2,5400,44,29,22,9,0,17,26,0,3.08,0
764,Customer Support,Male,44,Technician,7,Bachelor,5,5250,51,12,13,0,25,7,51,2,3.04,0
765,Operations,Male,29,Specialist,8,Bachelor,1,4950,43,33,8,2,75,7,55,0,1.41,0
766,IT,Female,33,Specialist,8,Master,5,6750,56,1,7,11,100,12,42,2,2.07,0
767,HR,Male,34,Analyst,4,High School,5,6000,34,26,15,9,25,9,68,0,1.52,0
767,HR,Male,34,Analyst,4,High School,5,6000,34,26,15,9,25,9,68,0,1.52,0
768,Marketing,Female,26,Technician,3,Master,2,4200,58,35,11,9,75,15,83,0,3.47,0
769,Finance,Female,43,Consultant,2,Bachelor,4,7700,54,47,22,6,0,12,42,2,2.51,0
770,Engineering,Female,60,Analyst,3,Bachelor,3,5200,42,32,12,5,75,9,68,1,4.4,0
771,Customer Support,Male,45,Technician,8,Master,1,3850,35,5,11,6,25,8,62,2,1.61,0
772,Operations,Male,44,Specialist,0,Bachelor,5,6750,37,18,29,11,25,8,36,1,3.69,0
773,Customer Support,Other,39,Engineer,7,Bachelor,3,7800,45,35,6,1,0,19,56,2,1.72,0
774,Finance,Male,49,Technician,8,High School,2,4200,36,25,15,0,100,13,27,2,1.28,0
775,Marketing,Female,52,Developer,0,High School,3,6500,37,4,6,1,0,2,29,2,4.08,0
776,Customer Support,Female,27,Technician,7,Bachelor,1,3850,31,46,25,6,100,6,44,2,4.02,0
777,Engineering,Female,42,Specialist,0,PhD,2,5400,50,48,25,13,100,2,98,1,4.5,0
778,IT,Female,30,Developer,8,Bachelor,4,7000,33,13,5,1,25,17,84,1,4.55,0
779,Engineering,Female,55,Specialist,5,Bachelor,3,5850,32,22,16,13,75,15,24,2,1.78,0
780,HR,Male,29,Developer,8,High School,5,7500,51,39,26,13,100,19,34,2,2.77,0
781,Engineering,Other,28,Specialist,3,High School,4,6300,43,25,26,11,25,19,10,1,2.75,0
782,Engineering,Female,43,Engineer,3,Bachelor,2,7200,31,28,3,4,100,11,15,1,2.76,0
783,HR,Female,29,Developer,5,Bachelor,2,6000,43,20,22,13,0,5,8,0,4.33,0
784,Sales,Female,33,Analyst,4,High School,2,4800,37,33,0,9,75,16,7,2,3.15,0
785,Engineering,Female,48,Specialist,9,Bachelor,1,4950,57,9,19,2,0,15,62,2,3.1,0
786,Legal,Female,56,Analyst,6,Bachelor,2,4800,51,5,1,10,50,1,16,2,2.13,1
787,Legal,Male,32,Developer,1,Bachelor,3,6500,35,12,16,12,0,2,1,1,1.92,0
788,Legal,Female,44,Specialist,6,High School,4,6300,58,43,6,6,0,13,66,0,4.23,0
789,Operations,Female,39,Engineer,9,Bachelor,5,9000,38,10,4,1,100,15,49,1,2.51,0
790,HR,Female,51,Technician,6,Bachelor,3,4550,49,26,7,11,75,4,33,2,4.12,1
791,Operations,Male,48,Analyst,5,Master,3,5200,52,23,5,2,100,13,64,2,2.27,0
792,Sales,Male,36,Specialist,8,Bachelor,2,5400,31,22,29,8,0,14,25,0,1.27,0
793,IT,Female,39,Engineer,6,Bachelor,4,8400,48,17,23,3,25,1,80,2,3.65,1
794,Marketing,Female,33,Specialist,1,Bachelor,4,6300,41,41,7,5,100,14,30,0,3.59,0
795,Finance,Female,22,Specialist,2,Bachelor,1,4950,46,35,24,4,0,18,56,2,3.94,0
796,Finance,Female,35,Engineer,0,Bachelor,2,7200,52,29,3,8,0,13,87,2,1.05,0
797,Engineering,Male,49,Specialist,1,Bachelor,2,5400,32,14,8,2,75,2,43,0,1.11,0
798,Operations,Male,41,Consultant,7,Master,3,7150,43,4,3,6,100,13,0,1,3.84,0
799,Operations,Male,54,Consultant,6,Bachelor,1,6050,50,19,1,5,50,5,3,1,1.27,0
800,Sales,Female,27,Developer,5,Bachelor,4,7000,33,30,0,8,100,3,17,1,4.42,0
801,Marketing,Male,27,Specialist,3,High School,1,4950,50,42,27,11,100,12,20,2,2.97,0
802,Operations,Male,46,Specialist,0,Bachelor,2,5400,49,11,16,14,75,7,29,1,4.27,0
803,Marketing,Female,33,Specialist,1,Bachelor,5,6750,59,41,0,6,0,7,81,1,2.9,0
804,Engineering,Female,45,Consultant,0,Master,5,8250,39,24,17,4,75,14,54,1,3.79,0
805,IT,Male,28,Manager,3,Bachelor,2,7200,43,37,24,3,0,9,55,2,4.01,1
806,Engineering,Male,60,Specialist,9,Bachelor,1,4950,44,23,9,1,25,2,74,1,1.9,0
807,Finance,Male,55,Engineer,7,Bachelor,3,7800,40,2,4,14,100,18,95,1,1.34,0
808,Engineering,Female,44,Engineer,5,High School,4,8400,41,21,7,8,100,9,93,2,3.18,0
809,Engineering,Male,44,Consultant,5,Bachelor,1,6050,57,24,9,13,100,17,16,0,3.49,0
810,Sales,Female,30,Manager,6,High School,3,7800,57,28,10,10,100,2,29,1,1.14,0
811,Sales,Female,24,Developer,6,Master,1,5500,42,40,11,14,25,4,81,0,2.08,0
812,Marketing,Male,27,Technician,9,High School,3,4550,30,37,11,11,0,16,41,1,3.92,0
813,Sales,Male,24,Manager,5,Bachelor,3,7800,48,23,14,2,75,19,5,2,1.23,0
814,HR,Female,31,Consultant,4,High School,3,7150,60,32,26,8,0,11,37,0,3.02,0
815,Engineering,Female,26,Analyst,6,PhD,4,5600,40,18,27,1,75,8,55,1,2.29,0
816,Marketing,Female,54,Consultant,4,Bachelor,1,6050,56,6,16,4,75,7,42,2,4.87,0
817,Legal,Male,51,Consultant,5,Bachelor,5,8250,51,42,22,4,75,7,40,0,3.79,0
818,Operations,Male,44,Technician,0,High School,4,4900,55,14,20,11,0,7,79,2,1.22,0
819,Marketing,Male,32,Technician,8,Bachelor,5,5250,54,8,22,4,75,10,78,0,3.88,0
820,Sales,Male,31,Specialist,6,Bachelor,1,4950,45,11,28,12,50,11,65,1,4.13,0
821,Legal,Male,25,Technician,1,Bachelor,4,4900,33,48,25,5,50,16,70,1,1.74,0
822,Sales,Male,32,Developer,6,Master,5,7500,39,4,28,9,100,1,98,1,3.5,0
823,Legal,Female,54,Specialist,7,Bachelor,5,6750,50,17,2,14,25,15,32,1,3.27,1
824,Marketing,Female,29,Specialist,1,Master,2,5400,57,38,19,2,100,5,54,1,3.59,0
825,Finance,Male,22,Engineer,8,High School,5,9000,52,32,16,3,50,11,27,0,4.2,0
826,Operations,Male,59,Technician,3,Bachelor,4,4900,34,5,17,0,75,14,2,1,4.6,1
827,IT,Female,58,Specialist,4,Bachelor,3,5850,30,12,21,7,0,10,68,2,2.74,0
828,Engineering,Female,51,Technician,8,Master,4,4900,37,4,26,4,75,17,89,0,3.44,0
829,Customer Support,Female,48,Analyst,4,Bachelor,1,4400,35,11,11,14,25,8,50,1,2.55,0
830,Sales,Female,28,Analyst,1,Bachelor,3,5200,51,25,28,14,100,3,34,1,2.24,0
831,Legal,Female,47,Manager,0,Master,1,6600,56,17,5,6,75,10,45,1,3.27,0
832,Sales,Female,37,Specialist,2,Bachelor,2,5400,30,30,16,12,50,1,86,0,1.38,0
833,Operations,Male,34,Analyst,9,High School,1,4400,39,20,19,7,25,16,54,2,2.98,0
834,Customer Support,Male,52,Technician,5,Bachelor,4,4900,34,25,12,11,75,19,54,0,1.46,0
835,Sales,Female,60,Manager,3,Bachelor,5,9000,60,18,18,14,75,7,16,2,4.94,0
836,Finance,Male,38,Technician,5,Bachelor,3,4550,56,36,7,14,100,19,42,2,4.27,0
837,Finance,Male,30,Specialist,6,Bachelor,4,6300,45,22,25,2,50,18,89,0,2.85,0
